연번,노선번호,노선ID,정류소번호,정류소ID,정류소명,위도,경도
1,B0,SJB293000302,51121,SJB293064220,세종고속시외버스터미널(지하),36.4708162,127.2731717
2,B0,SJB293000302,51048,SJB293053011,한솔동,36.48034,127.26243
3,B0,SJB293000302,51007,SJB293053005,새롬동.나성동,36.48685,127.25785
4,B0,SJB293000302,51015,SJB293054003,다정동,36.4939251,127.2563976
5,B0,SJB293000302,52029,SJB293062006,정부세종청사남측,36.5008869,127.2596196
6,B0,SJB293000302,52033,SJB293062011,정부세종청사북측,36.504176,127.2611617
7,B0,SJB293000302,52008,SJB293056003,도담동,36.5140662,127.259188
8,B0,SJB293000302,52064,SJB293064445,세종충남대학교병원,36.520517,127.259481
9,B0,SJB293000302,31056,SJB293014014,해밀리,36.528653,127.2638902
10,B0,SJB293000302,31054,SJB293014025,한별리,36.53377,127.27527
11,B0,SJB293000302,31073,SJB293064420,누리리,36.533978,127.29214
12,B0,SJB293000302,64012,SJB293064493,다솜리,36.5319645,127.3198216
13,B0,SJB293000302,57027,SJB293064416,산학연클러스터,36.501718,127.328826
14,B0,SJB293000302,57029,SJB293064418,집현리,36.498135,127.322785
15,B0,SJB293000302,57023,SJB293064257,반곡동(수루배마을),36.497739,127.312279
16,B0,SJB293000302,57025,SJB293064261,국책연구단지,36.492195,127.304331
17,B0,SJB293000302,57020,SJB293064254,"법원.검찰청,경찰청",36.486842,127.301429
18,B0,SJB293000302,51115,SJB293064214,소담동 새샘마을,36.4824576,127.2972683
19,B0,SJB293000302,51112,SJB293064211,세종시청.교육청.시의회,36.478674,127.288769
20,B0,SJB293000302,51110,SJB293064209,보람동.대평동,36.4756055,127.2816359
21,B0,SJB293000302,57017,SJB293064251,대평동,36.472267,127.276406
22,B0,SJB293000302,51121,SJB293064220,세종고속시외버스터미널(지하),36.4708162,127.2731717
1,B0,SJB293000303,51122,SJB293064221,세종고속시외버스터미널(지하),36.4706404,127.273189
2,B0,SJB293000303,57018,SJB293064252,대평동,36.472148,127.276445
3,B0,SJB293000303,51107,SJB293064206,보람동.대평동,36.4749413,127.2807336
4,B0,SJB293000303,51111,SJB293064210,세종시청.교육청.시의회,36.478356,127.288188
5,B0,SJB293000303,51117,SJB293064216,소담동 새샘마을,36.4826387,127.2977367
6,B0,SJB293000303,57019,SJB293064253,"법원.검찰청,경찰청",36.487095,127.301744
7,B0,SJB293000303,57021,SJB293064255,국책연구단지,36.4913263,127.304
8,B0,SJB293000303,57024,SJB293064258,반곡동(수루배마을),36.497535,127.310959
9,B0,SJB293000303,57030,SJB293064419,집현리,36.497917,127.321985
10,B0,SJB293000303,57028,SJB293064417,산학연클러스터,36.500789,127.328331
11,B0,SJB293000303,64011,SJB293064492,다솜리,36.5317939,127.3202744
12,B0,SJB293000303,31057,SJB293014058,누리리,36.5341,127.292158
13,B0,SJB293000303,31053,SJB293014026,한별리,36.5341,127.27661
14,B0,SJB293000303,31055,SJB293014017,해밀리,36.52963,127.26478
15,B0,SJB293000303,52065,SJB293064446,세종충남대학교병원,36.521617,127.259736
16,B0,SJB293000303,52009,SJB293056002,도담동,36.51483,127.25896
17,B0,SJB293000303,52036,SJB293062014,정부세종청사북측,36.5050692,127.2615051
18,B0,SJB293000303,52030,SJB293062007,정부세종청사남측,36.50173,127.25991
19,B0,SJB293000303,52018,SJB293062004,다정동,36.49491,127.25649
20,B0,SJB293000303,51009,SJB293053004,새롬동.나성동,36.48771,127.25729
21,B0,SJB293000303,51049,SJB293053009,한솔동,36.4810822,127.2617829
22,B0,SJB293000303,51122,SJB293064221,세종고속시외버스터미널(지하),36.4706404,127.273189
1,B0,SJB293000304,51012,SJB293055002,세종고속시외버스터미널(지상),36.4693014,127.2740033
2,B0,SJB293000304,51121,SJB293064220,세종고속시외버스터미널(지하),36.4708162,127.2731717
3,B0,SJB293000304,51048,SJB293053011,한솔동,36.48034,127.26243
4,B0,SJB293000304,51007,SJB293053005,새롬동.나성동,36.48685,127.25785
5,B0,SJB293000304,51015,SJB293054003,다정동,36.4939251,127.2563976
6,B0,SJB293000304,52029,SJB293062006,정부세종청사남측,36.5008869,127.2596196
7,B0,SJB293000304,52033,SJB293062011,정부세종청사북측,36.504176,127.2611617
8,B0,SJB293000304,52008,SJB293056003,도담동,36.5140662,127.259188
9,B0,SJB293000304,52064,SJB293064445,세종충남대학교병원,36.520517,127.259481
10,B0,SJB293000304,31056,SJB293014014,해밀리,36.528653,127.2638902
11,B0,SJB293000304,31054,SJB293014025,한별리,36.53377,127.27527
12,B0,SJB293000304,31073,SJB293064420,누리리,36.533978,127.29214
13,B0,SJB293000304,64012,SJB293064493,다솜리,36.5319645,127.3198216
14,B0,SJB293000304,57027,SJB293064416,산학연클러스터,36.501718,127.328826
15,B0,SJB293000304,57029,SJB293064418,집현리,36.498135,127.322785
16,B0,SJB293000304,57023,SJB293064257,반곡동(수루배마을),36.497739,127.312279
17,B0,SJB293000304,57025,SJB293064261,국책연구단지,36.492195,127.304331
18,B0,SJB293000304,57020,SJB293064254,"법원.검찰청,경찰청",36.486842,127.301429
19,B0,SJB293000304,51115,SJB293064214,소담동 새샘마을,36.4824576,127.2972683
20,B0,SJB293000304,51112,SJB293064211,세종시청.교육청.시의회,36.478674,127.288769
21,B0,SJB293000304,51110,SJB293064209,보람동.대평동,36.4756055,127.2816359
22,B0,SJB293000304,57017,SJB293064251,대평동,36.472267,127.276406
23,B0,SJB293000304,51011,SJB293055001,세종고속시외버스터미널(지상),36.469265,127.2738136
1,B0,SJB293000305,51012,SJB293055002,세종고속시외버스터미널(지상),36.4693014,127.2740033
2,B0,SJB293000305,57018,SJB293064252,대평동,36.472148,127.276445
3,B0,SJB293000305,51107,SJB293064206,보람동.대평동,36.4749413,127.2807336
4,B0,SJB293000305,51111,SJB293064210,세종시청.교육청.시의회,36.478356,127.288188
5,B0,SJB293000305,51117,SJB293064216,소담동 새샘마을,36.4826387,127.2977367
6,B0,SJB293000305,57019,SJB293064253,"법원.검찰청,경찰청",36.487095,127.301744
7,B0,SJB293000305,57021,SJB293064255,국책연구단지,36.4913263,127.304
8,B0,SJB293000305,57024,SJB293064258,반곡동(수루배마을),36.497535,127.310959
9,B0,SJB293000305,57030,SJB293064419,집현리,36.497917,127.321985
